0.000100 0.000000 0.000000,0.005200 0.000000 0.000000,0.010300 0.000000 0.000000,0.015400 0.000000 0.000000,0.020500 0.000000 0.000000,0.025600 0.000000 0.000000,0.030700 0.000000 0.000000,0.035800 0.000000 0.000000,0.040900 0.000000 0.000000,0.046000 0.000000 0.000000,0.051100 0.000000 0.000000,0.056200 0.000000 0.000000,0.061300 0.000000 0.000000,0.066400 0.000000 0.000000,0.071500 0.000000 0.000000,0.076600 0.000000 0.000000,0.081700 0.000000 0.000000,0.086800 0.000000 0.000000,0.091900 0.000000 0.000000,0.100100 0.000000 0.000000,
0.000100 0.000000 0.000000,0.005173 0.000458 0.000000,0.010096 0.001768 0.000000,0.014726 0.003891 0.000000,0.018930 0.006767 0.000000,0.022587 0.010313 0.000000,0.025591 0.014427 0.000000,0.027856 0.018990 0.000000,0.029317 0.023870 0.000000,0.029931 0.028926 0.000000,0.029680 0.034014 0.000000,0.028573 0.038986 0.000000,0.026640 0.043699 0.000000,0.023937 0.048017 0.000000,0.020543 0.051815 0.000000,0.016556 0.054985 0.000000,0.012089 0.057434 0.000000,0.007273 0.059092 0.000000,0.002246 0.059912 0.000000,-0.005914 0.059421 0.000000,
0.000100 0.000001 0.000000,0.005093 0.000909 0.000000,0.009498 0.003431 0.000000,0.012810 0.007278 0.000000,0.014649 0.012008 0.000000,0.014805 0.017081 0.000000,0.013260 0.021916 0.000000,0.010192 0.025959 0.000000,0.005951 0.028747 0.000000,0.001023 0.029962 0.000000,-0.004028 0.029463 0.000000,-0.008623 0.027308 0.000000,-0.012237 0.023745 0.000000,-0.014456 0.019180 0.000000,-0.015025 0.014136 0.000000,-0.013880 0.009192 0.000000,-0.011151 0.004912 0.000000,-0.007152 0.001787 0.000000,-0.002339 0.000176 0.000000,0.005701 0.001146 0.000000,
0.000100 0.000001 0.000000,0.004962 0.001347 0.000000,0.008549 0.004895 0.000000,0.009947 0.009742 0.000000,0.008800 0.014655 0.000000,0.005402 0.018383 0.000000,0.000615 0.019978 0.000000,-0.004340 0.019033 0.000000,-0.008204 0.015789 0.000000,-0.009992 0.011072 0.000000,-0.009250 0.006082 0.000000,-0.006167 0.002089 0.000000,-0.001526 0.000109 0.000000,0.003490 0.000647 0.000000,0.007605 0.003566 0.000000,0.009772 0.008121 0.000000,0.009439 0.013155 0.000000,0.006691 0.017386 0.000000,0.002228 0.019737 0.000000,-0.005615 0.018308 0.000000,
0.000100 0.000001 0.000000,0.004782 0.001764 0.000000,0.007314 0.006078 0.000000,0.006570 0.011024 0.000000,0.002882 0.014403 0.000000,-0.002111 0.014711 0.000000,-0.006187 0.011811 0.000000,-0.007533 0.006993 0.000000,-0.005550 0.002401 0.000000,-0.001120 0.000077 0.000000,0.003786 0.001055 0.000000,0.006985 0.004900 0.000000,0.007055 0.009902 0.000000,0.003964 0.013835 0.000000,-0.000912 0.014950 0.000000,-0.005405 0.012751 0.000000,-0.007516 0.008216 0.000000,-0.006305 0.003362 0.000000,-0.002312 0.000349 0.000000,0.005262 0.002205 0.000000,
0.000100 0.000002 0.000000,0.004555 0.002154 0.000000,0.005879 0.006921 0.000000,0.003171 0.011062 0.000000,-0.001728 0.011761 0.000000,-0.005485 0.008541 0.000000,-0.005547 0.003594 0.000000,-0.001870 0.000282 0.000000,0.003044 0.000859 0.000000,0.005854 0.004932 0.000000,0.004649 0.009731 0.000000,0.000249 0.011992 0.000000,-0.004355 0.010179 0.000000,-0.006031 0.005524 0.000000,-0.003640 0.001192 0.000000,0.001193 0.000130 0.000000,0.005180 0.003059 0.000000,0.005611 0.007989 0.000000,0.002192 0.011565 0.000000,-0.005045 0.009324 0.000000,
0.000100 0.000002 0.000000,0.004287 0.002512 0.000000,0.004340 0.007394 0.000000,0.000208 0.009993 0.000000,-0.004170 0.007833 0.000000,-0.004620 0.002972 0.000000,-0.000714 0.000044 0.000000,0.003825 0.001840 0.000000,0.004670 0.006649 0.000000,0.001016 0.009885 0.000000,-0.003655 0.008465 0.000000,-0.004889 0.003741 0.000000,-0.001510 0.000218 0.000000,0.003261 0.001253 0.000000,0.004876 0.005860 0.000000,0.001795 0.009647 0.000000,-0.003044 0.009004 0.000000,-0.005029 0.004544 0.000000,-0.002268 0.000519 0.000000,0.004574 0.003097 0.000000,
0.000100 -0.000000 0.000000,0.005173 -0.000458 0.000000,0.010096 -0.001768 0.000000,0.014726 -0.003891 0.000000,0.018930 -0.006767 0.000000,0.022587 -0.010313 0.000000,0.025591 -0.014427 0.000000,0.027856 -0.018990 0.000000,0.029317 -0.023870 0.000000,0.029931 -0.028926 0.000000,0.029680 -0.034014 0.000000,0.028573 -0.038986 0.000000,0.026640 -0.043699 0.000000,0.023937 -0.048017 0.000000,0.020543 -0.051815 0.000000,0.016556 -0.054985 0.000000,0.012089 -0.057434 0.000000,0.007273 -0.059092 0.000000,0.002246 -0.059912 0.000000,-0.005914 -0.059421 0.000000,
0.000100 -0.000001 0.000000,0.005093 -0.000909 0.000000,0.009498 -0.003431 0.000000,0.012810 -0.007278 0.000000,0.014649 -0.012008 0.000000,0.014805 -0.017081 0.000000,0.013260 -0.021916 0.000000,0.010192 -0.025959 0.000000,0.005951 -0.028747 0.000000,0.001023 -0.029962 0.000000,-0.004028 -0.029463 0.000000,-0.008623 -0.027308 0.000000,-0.012237 -0.023745 0.000000,-0.014456 -0.019180 0.000000,-0.015025 -0.014136 0.000000,-0.013880 -0.009192 0.000000,-0.011151 -0.004912 0.000000,-0.007152 -0.001787 0.000000,-0.002339 -0.000176 0.000000,0.005701 -0.001146 0.000000,
0.000100 -0.000001 0.000000,0.004962 -0.001347 0.000000,0.008549 -0.004895 0.000000,0.009947 -0.009742 0.000000,0.008800 -0.014655 0.000000,0.005402 -0.018383 0.000000,0.000615 -0.019978 0.000000,-0.004340 -0.019033 0.000000,-0.008204 -0.015789 0.000000,-0.009992 -0.011072 0.000000,-0.009250 -0.006082 0.000000,-0.006167 -0.002089 0.000000,-0.001526 -0.000109 0.000000,0.003490 -0.000647 0.000000,0.007605 -0.003566 0.000000,0.009772 -0.008121 0.000000,0.009439 -0.013155 0.000000,0.006691 -0.017386 0.000000,0.002228 -0.019737 0.000000,-0.005615 -0.018308 0.000000,
