0.000100 0.000000 0.000000,0.002800 0.000000 0.000000,0.005500 0.000000 0.000000,0.008200 0.000000 0.000000,0.010900 0.000000 0.000000,0.013600 0.000000 0.000000,0.016300 0.000000 0.000000,0.019000 0.000000 0.000000,0.021700 0.000000 0.000000,0.024400 0.000000 0.000000,0.027100 0.000000 0.000000,0.029800 0.000000 0.000000,0.032500 0.000000 0.000000,0.035200 0.000000 0.000000,0.037900 0.000000 0.000000,0.040600 0.000000 0.000000,0.043300 0.000000 0.000000,0.046000 0.000000 0.000000,0.048700 0.000000 0.000000,0.051400 0.000000 0.000000,0.054100 0.000000 0.000000,0.056800 0.000000 0.000000,0.059500 0.000000 0.000000,0.062200 0.000000 0.000000,0.064900 0.000000 0.000000,0.067600 0.000000 0.000000,0.070300 0.000000 0.000000,0.073000 0.000000 0.000000,0.075700 0.000000 0.000000,0.080100 0.000000 0.000000,
0.000100 0.000000 0.000000,0.002798 0.000081 0.000000,0.005489 0.000308 0.000000,0.008163 0.000679 0.000000,0.010813 0.001194 0.000000,0.013431 0.001852 0.000000,0.016010 0.002649 0.000000,0.018542 0.003585 0.000000,0.021021 0.004656 0.000000,0.023437 0.005860 0.000000,0.025785 0.007192 0.000000,0.028058 0.008649 0.000000,0.030249 0.010226 0.000000,0.032352 0.011919 0.000000,0.034360 0.013724 0.000000,0.036268 0.015634 0.000000,0.038070 0.017644 0.000000,0.039760 0.019749 0.000000,0.041335 0.021942 0.000000,0.042789 0.024216 0.000000,0.044118 0.026566 0.000000,0.045319 0.028984 0.000000,0.046387 0.031463 0.000000,0.047320 0.033997 0.000000,0.048115 0.036577 0.000000,0.048769 0.039196 0.000000,0.049281 0.041847 0.000000,0.049649 0.044521 0.000000,0.049872 0.047212 0.000000,0.049924 0.051610 0.000000,
0.000100 0.000000 0.000000,0.002794 0.000162 0.000000,0.005455 0.000613 0.000000,0.008051 0.001349 0.000000,0.010553 0.002360 0.000000,0.012932 0.003635 0.000000,0.015159 0.005159 0.000000,0.017209 0.006914 0.000000,0.019058 0.008879 0.000000,0.020685 0.011033 0.000000,0.022069 0.013349 0.000000,0.023196 0.015801 0.000000,0.024052 0.018361 0.000000,0.024628 0.020997 0.000000,0.024915 0.023681 0.000000,0.024912 0.026379 0.000000,0.024618 0.029062 0.000000,0.024036 0.031697 0.000000,0.023174 0.034254 0.000000,0.022041 0.036704 0.000000,0.020651 0.039017 0.000000,0.019019 0.041167 0.000000,0.017166 0.043128 0.000000,0.015111 0.044878 0.000000,0.012880 0.046396 0.000000,0.010499 0.047665 0.000000,0.007994 0.048670 0.000000,0.005396 0.049400 0.000000,0.002734 0.049844 0.000000,-0.001659 0.049948 0.000000,
0.000100 0.000001 0.000000,0.002786 0.000243 0.000000,0.005398 0.000915 0.000000,0.007867 0.002000 0.000000,0.010129 0.003469 0.000000,0.012124 0.005284 0.000000,0.013801 0.007397 0.000000,0.015115 0.009752 0.000000,0.016031 0.012289 0.000000,0.016527 0.014940 0.000000,0.016588 0.017636 0.000000,0.016214 0.020307 0.000000,0.015414 0.022883 0.000000,0.014209 0.025296 0.000000,0.012631 0.027482 0.000000,0.010720 0.029386 0.000000,0.008527 0.030957 0.000000,0.006110 0.032153 0.000000,0.003532 0.032944 0.000000,0.000859 0.033308 0.000000,-0.001837 0.033237 0.000000,-0.004486 0.032732 0.000000,-0.007019 0.031806 0.000000,-0.009370 0.030484 0.000000,-0.011476 0.028800 0.000000,-0.013284 0.026798 0.000000,-0.014745 0.024531 0.000000,-0.015821 0.022058 0.000000,-0.016484 0.019443 0.000000,-0.016639 0.015059 0.000000,
0.000100 0.000001 0.000000,0.002775 0.000323 0.000000,0.005319 0.001212 0.000000,0.007614 0.002625 0.000000,0.009552 0.004497 0.000000,0.011044 0.006741 0.000000,0.012021 0.009253 0.000000,0.012436 0.011915 0.000000,0.012272 0.014605 0.000000,0.011534 0.017197 0.000000,0.010258 0.019570 0.000000,0.008503 0.021615 0.000000,0.006351 0.023237 0.000000,0.003901 0.024359 0.000000,0.001267 0.024930 0.000000,-0.001427 0.024924 0.000000,-0.004058 0.024340 0.000000,-0.006503 0.023206 0.000000,-0.008647 0.021574 0.000000,-0.010392 0.019521 0.000000,-0.011657 0.017141 0.000000,-0.012382 0.014546 0.000000,-0.012533 0.011855 0.000000,-0.012105 0.009195 0.000000,-0.011117 0.006688 0.000000,-0.009614 0.004451 0.000000,-0.007666 0.002588 0.000000,-0.005365 0.001186 0.000000,-0.002817 0.000310 0.000000,0.001556 0.000103 0.000000,
0.000100 0.000001 0.000000,0.002762 0.000403 0.000000,0.005219 0.001501 0.000000,0.007296 0.003214 0.000000,0.008839 0.005419 0.000000,0.009739 0.007956 0.000000,0.009929 0.010642 0.000000,0.009397 0.013280 0.000000,0.008180 0.015681 0.000000,0.006366 0.017670 0.000000,0.004088 0.019104 0.000000,0.001510 0.019878 0.000000,-0.001182 0.019936 0.000000,-0.003791 0.019274 0.000000,-0.006129 0.017940 0.000000,-0.008027 0.016031 0.000000,-0.009346 0.013685 0.000000,-0.009992 0.011072 0.000000,-0.009918 0.008381 0.000000,-0.009129 0.005807 0.000000,-0.007682 0.003538 0.000000,-0.005681 0.001736 0.000000,-0.003273 0.000534 0.000000,-0.000632 0.000017 0.000000,0.002052 0.000223 0.000000,0.004584 0.001138 0.000000,0.006780 0.002695 0.000000,0.008481 0.004782 0.000000,0.009563 0.007246 0.000000,0.009821 0.011603 0.000000,
0.000100 0.000001 0.000000,0.002745 0.000482 0.000000,0.005099 0.001781 0.000000,0.006917 0.003761 0.000000,0.008010 0.006217 0.000000,0.008265 0.008893 0.000000,0.007654 0.011511 0.000000,0.006241 0.013798 0.000000,0.004174 0.015517 0.000000,0.001668 0.016488 0.000000,-0.001018 0.016610 0.000000,-0.003603 0.015871 0.000000,-0.005818 0.014348 0.000000,-0.007432 0.012199 0.000000,-0.008279 0.009648 0.000000,-0.008269 0.006959 0.000000,-0.007404 0.004414 0.000000,-0.005774 0.002277 0.000000,-0.003548 0.000770 0.000000,-0.000958 0.000049 0.000000,0.001726 0.000191 0.000000,0.004226 0.001181 0.000000,0.006281 0.002914 0.000000,0.007677 0.005211 0.000000,0.008268 0.007834 0.000000,0.007995 0.010508 0.000000,0.006884 0.012956 0.000000,0.005051 0.014923 0.000000,0.002688 0.016204 0.000000,-0.001650 0.016512 0.000000,
0.000100 0.000001 0.000000,0.002725 0.000561 0.000000,0.004958 0.002050 0.000000,0.006484 0.004258 0.000000,0.007088 0.006873 0.000000,0.006684 0.009526 0.000000,0.005329 0.011843 0.000000,0.003214 0.013496 0.000000,0.000639 0.014252 0.000000,-0.002034 0.014005 0.000000,-0.004426 0.012788 0.000000,-0.006201 0.010775 0.000000,-0.007107 0.008248 0.000000,-0.007017 0.005566 0.000000,-0.005943 0.003106 0.000000,-0.004037 0.001216 0.000000,-0.001568 0.000163 0.000000,0.001115 0.000095 0.000000,0.003634 0.001023 0.000000,0.005632 0.002814 0.000000,0.006828 0.005217 0.000000,0.007054 0.007891 0.000000,0.006276 0.010460 0.000000,0.004605 0.012561 0.000000,0.002277 0.013896 0.000000,-0.000380 0.014278 0.000000,-0.002990 0.013653 0.000000,-0.005185 0.012108 0.000000,-0.006655 0.009862 0.000000,-0.007012 0.005546 0.000000,
0.000100 0.000002 0.000000,0.002702 0.000638 0.000000,0.004799 0.002306 0.000000,0.006005 0.004699 0.000000,0.006098 0.007376 0.000000,0.005061 0.009847 0.000000,0.003086 0.011656 0.000000,0.000534 0.012473 0.000000,-0.002125 0.012145 0.000000,-0.004403 0.010735 0.000000,-0.005881 0.008501 0.000000,-0.006287 0.005853 0.000000,-0.005548 0.003278 0.000000,-0.003798 0.001249 0.000000,-0.001360 0.000139 0.000000,0.001319 0.000152 0.000000,0.003746 0.001285 0.000000,0.005476 0.003331 0.000000,0.006191 0.005913 0.000000,0.005759 0.008557 0.000000,0.004259 0.010777 0.000000,0.001968 0.012165 0.000000,-0.000694 0.012467 0.000000,-0.003238 0.011626 0.000000,-0.005196 0.009797 0.000000,-0.006208 0.007317 0.000000,-0.006089 0.004641 0.000000,-0.004861 0.002260 0.000000,-0.002748 0.000612 0.000000,0.001542 0.000206 0.000000,
0.000100 0.000002 0.000000,0.002677 0.000715 0.000000,0.004622 0.002549 0.000000,0.005485 0.005079 0.000000,0.005067 0.007720 0.000000,0.003463 0.009859 0.000000,0.001046 0.011002 0.000000,-0.001625 0.010883 0.000000,-0.003931 0.009531 0.000000,-0.005338 0.007258 0.000000,-0.005521 0.004590 0.000000,-0.004437 0.002146 0.000000,-0.002337 0.000492 0.000000,0.000293 0.000010 0.000000,0.002843 0.000813 0.000000,0.004724 0.002713 0.000000,0.005498 0.005272 0.000000,0.004988 0.007897 0.000000,0.003311 0.009979 0.000000,0.000856 0.011037 0.000000,-0.001809 0.010825 0.000000,-0.004067 0.009393 0.000000,-0.005394 0.007072 0.000000,-0.005484 0.004400 0.000000,-0.004316 0.001996 0.000000,-0.002159 0.000416 0.000000,0.000486 0.000026 0.000000,0.003007 0.000916 0.000000,0.004820 0.002881 0.000000,0.005274 0.007143 0.000000,
