0.000100 0.000000 0.000000,0.004100 0.000000 0.000000,0.008100 0.000000 0.000000,0.012100 0.000000 0.000000,0.020000 0.000000 0.000000,
0.000100 0.000000 0.000000,0.004095 0.000172 0.000000,0.008064 0.000663 0.000000,0.011981 0.001469 0.000000,0.019467 0.003966 0.000000,
0.000100 0.000000 0.000000,0.004081 0.000344 0.000000,0.007956 0.001317 0.000000,0.011627 0.002895 0.000000,0.017919 0.007618 0.000000,
0.000100 0.000001 0.000000,0.004057 0.000514 0.000000,0.007779 0.001953 0.000000,0.011052 0.004236 0.000000,0.015502 0.010674 0.000000,
0.000100 0.000001 0.000000,0.004024 0.000682 0.000000,0.007535 0.002564 0.000000,0.010275 0.005454 0.000000,0.012443 0.012915 0.000000,
0.000100 0.000001 0.000000,0.003982 0.000849 0.000000,0.007227 0.003141 0.000000,0.009324 0.006517 0.000000,0.009022 0.014207 0.000000,
0.000100 0.000001 0.000000,0.003931 0.001012 0.000000,0.006862 0.003678 0.000000,0.008230 0.007395 0.000000,0.005542 0.014512 0.000000,
0.000100 0.000001 0.000000,0.003870 0.001172 0.000000,0.006443 0.004166 0.000000,0.007032 0.008070 0.000000,0.002296 0.013890 0.000000,
0.000100 0.000002 0.000000,0.003802 0.001328 0.000000,0.005979 0.004602 0.000000,0.005770 0.008529 0.000000,-0.000465 0.012486 0.000000,
0.000100 0.000002 0.000000,0.003725 0.001479 0.000000,0.005476 0.004980 0.000000,0.004484 0.008766 0.000000,-0.002553 0.010515 0.000000,
0.000100 0.000002 0.000000,0.003640 0.001625 0.000000,0.004941 0.005296 0.000000,0.003215 0.008787 0.000000,-0.003867 0.008230 0.000000,
0.000100 -0.000000 0.000000,0.004095 -0.000172 0.000000,0.008064 -0.000663 0.000000,0.011981 -0.001469 0.000000,0.019467 -0.003966 0.000000,
0.000100 -0.000000 0.000000,0.004081 -0.000344 0.000000,0.007956 -0.001317 0.000000,0.011627 -0.002895 0.000000,0.017919 -0.007618 0.000000,
0.000100 -0.000001 0.000000,0.004057 -0.000514 0.000000,0.007779 -0.001953 0.000000,0.011052 -0.004236 0.000000,0.015502 -0.010674 0.000000,
0.000100 -0.000001 0.000000,0.004024 -0.000682 0.000000,0.007535 -0.002564 0.000000,0.010275 -0.005454 0.000000,0.012443 -0.012915 0.000000,
0.000100 -0.000001 0.000000,0.003982 -0.000849 0.000000,0.007227 -0.003141 0.000000,0.009324 -0.006517 0.000000,0.009022 -0.014207 0.000000,
0.000100 -0.000001 0.000000,0.003931 -0.001012 0.000000,0.006862 -0.003678 0.000000,0.008230 -0.007395 0.000000,0.005542 -0.014512 0.000000,
0.000100 -0.000001 0.000000,0.003870 -0.001172 0.000000,0.006443 -0.004166 0.000000,0.007032 -0.008070 0.000000,0.002296 -0.013890 0.000000,
0.000100 -0.000002 0.000000,0.003802 -0.001328 0.000000,0.005979 -0.004602 0.000000,0.005770 -0.008529 0.000000,-0.000465 -0.012486 0.000000,
0.000100 -0.000002 0.000000,0.003725 -0.001479 0.000000,0.005476 -0.004980 0.000000,0.004484 -0.008766 0.000000,-0.002553 -0.010515 0.000000,
0.000100 -0.000002 0.000000,0.003640 -0.001625 0.000000,0.004941 -0.005296 0.000000,0.003215 -0.008787 0.000000,-0.003867 -0.008230 0.000000,
0.001325 0.000000 0.000000,0.054325 0.000000 0.000000,0.107325 0.000000 0.000000,0.160325 0.000000 0.000000,0.265000 0.000000 0.000000,
0.001325 0.000003 0.000000,0.054262 0.002280 0.000000,0.106847 0.008781 0.000000,0.158745 0.019464 0.000000,0.257937 0.052555 0.000000,
0.001325 0.000005 0.000000,0.054073 0.004553 0.000000,0.105422 0.017446 0.000000,0.154062 0.038355 0.000000,0.237423 0.100941 0.000000,
0.001325 0.000008 0.000000,0.053759 0.006810 0.000000,0.103073 0.025880 0.000000,0.146440 0.056126 0.000000,0.205402 0.141430 0.000000,
0.001325 0.000011 0.000000,0.053321 0.009043 0.000000,0.099835 0.033973 0.000000,0.136147 0.072270 0.000000,0.164872 0.171122 0.000000,
0.001325 0.000013 0.000000,0.052760 0.011245 0.000000,0.095762 0.041621 0.000000,0.123539 0.086344 0.000000,0.119543 0.188240 0.000000,
0.001325 0.000016 0.000000,0.052080 0.013409 0.000000,0.090916 0.048727 0.000000,0.109053 0.097987 0.000000,0.073430 0.192282 0.000000,
0.001325 0.000019 0.000000,0.051284 0.015527 0.000000,0.085373 0.055205 0.000000,0.093180 0.106929 0.000000,0.030417 0.184036 0.000000,
0.001325 0.000021 0.000000,0.050373 0.017592 0.000000,0.079221 0.060978 0.000000,0.076450 0.113005 0.000000,-0.006158 0.165442 0.000000,
0.001325 0.000024 0.000000,0.049353 0.019598 0.000000,0.072553 0.065982 0.000000,0.059411 0.116153 0.000000,-0.033830 0.139326 0.000000,
0.001325 0.000026 0.000000,0.048226 0.021537 0.000000,0.065473 0.070168 0.000000,0.042602 0.116421 0.000000,-0.051232 0.109049 0.000000,
0.001325 -0.000003 0.000000,0.054262 -0.002280 0.000000,0.106847 -0.008781 0.000000,0.158745 -0.019464 0.000000,0.257937 -0.052555 0.000000,
0.001325 -0.000005 0.000000,0.054073 -0.004553 0.000000,0.105422 -0.017446 0.000000,0.154062 -0.038355 0.000000,0.237423 -0.100941 0.000000,
0.001325 -0.000008 0.000000,0.053759 -0.006810 0.000000,0.103073 -0.025880 0.000000,0.146440 -0.056126 0.000000,0.205402 -0.141430 0.000000,
0.001325 -0.000011 0.000000,0.053321 -0.009043 0.000000,0.099835 -0.033973 0.000000,0.136147 -0.072270 0.000000,0.164872 -0.171122 0.000000,
0.001325 -0.000013 0.000000,0.052760 -0.011245 0.000000,0.095762 -0.041621 0.000000,0.123539 -0.086344 0.000000,0.119543 -0.188240 0.000000,
0.001325 -0.000016 0.000000,0.052080 -0.013409 0.000000,0.090916 -0.048727 0.000000,0.109053 -0.097987 0.000000,0.073430 -0.192282 0.000000,
